population	Belen_pop_name	Belen_analysis_name	Belen_analysis_name	individualID
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_01
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_02
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_03
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_04
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_05
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_06
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_07
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_08
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_09
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_10
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_11
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_12
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_13
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_14
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_15
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_16
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_17
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_18
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_19
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_20
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_21
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_22
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_23
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_24
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_25
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_26
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_27
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_28
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_29
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_30
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_31
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_32
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_33
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_34
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_35
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_36
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_37
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_38
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_39
Hårkjær	Hårkjær	Hårkjær_HAT	Hårkjær_HAT	hat_40
SKJERN_2001	SKJERN_2001	SKJERN_2001_HAT	SKJERN_2001_HAT	SKJ2001_02
SKJERN_2001	SKJERN_2001	SKJERN_2001_HAT	SKJERN_2001_HAT	SKJ2001_03
SKJERN_2001	SKJERN_2001	SKJERN_2001_HAT	SKJERN_2001_HAT	SKJ2001_12
SKJERN_2001	SKJERN_2001	SKJERN_2001_HAT	SKJERN_2001_HAT	SKJ2001_14
